Team 1: Japan | Team 2: Syria | Team 1 Win: 1.38 | Draw: 4.3 | Team 2 Win: 7.0 | Link: https://roobet.com/sports/soccer/international/u23-afc-asian-cup/japan-syria-2619802771762843692
Team 1: Al Arabi | Team 2: Yarmouk | Team 1 Win: 1.13 | Draw: 6.2 | Team 2 Win: 19.0 | Link: https://roobet.com/sports/soccer/kuwait/crown-prince-cup/al-arabi-yarmouk-2620421874072559665
Team 1: Maracana EC CE | Team 2: Ferroviario AC CE | Team 1 Win: 1.93 | Draw: 3.05 | Team 2 Win: 4.0 | Link: https://roobet.com/sports/soccer/brazil/cearense/maracana-ec-ce-ferroviario-ac-ce-2620156613679525906
Team 1: FC St. Gallen 1879 | Team 2: RSC Anderlecht | Team 1 Win: 2.32 | Draw: 4.0 | Team 2 Win: 2.46 | Link: https://roobet.com/sports/soccer/international/club-friendly-games/fc-st-gallen-1879-rsc-anderlecht-2620419749217177622
Team 1: Republic of Korea | Team 2: Iran | Team 1 Win: 2.2 | Draw: 3.1 | Team 2 Win: 3.1 | Link: https://roobet.com/sports/soccer/international/u23-afc-asian-cup/republic-of-korea-iran-2619802771762843693
Team 1: Al Shabab | Team 2: Sur SC | Team 1 Win: 1.53 | Draw: 3.8 | Team 2 Win: 5.6 | Link: https://roobet.com/sports/soccer/oman/omani-league/al-shabab-sur-sc-2620277300587008011
Team 1: Cearense | Team 2: Winner 2026 | Team 1 Win: N/A | Draw: N/A | Team 2 Win: N/A | Link: https://roobet.com/sports/soccer/brazil/cearense/cearense-winner-2026-2617369646625595408
Team 1: Spain | Team 2: Peru | Team 1 Win: 1.07 | Draw: 12.0 | Team 2 Win: 12.0 | Link: https://roobet.com/sports/soccer/international/kings-league-world-cup-2-x-20-min/spain-peru-2620326269744721951
Team 1: Mazatlan FC | Team 2: FC Juarez | Team 1 Win: 12.0 | Draw: 5.6 | Team 2 Win: 1.2 | Link: https://roobet.com/sports/soccer/mexico/liga-mx-women/mazatlan-fc-fc-juarez-2620156613679525912
Team 1: Greuther Furth | Team 2: 1. FC Schweinfurt 05 | Team 1 Win: 1.41 | Draw: 4.7 | Team 2 Win: 6.0 | Link: https://roobet.com/sports/soccer/international/club-friendly-games/greuther-furth-1-fc-schweinfurt-05-2620326269744721962
Team 1: Atlas FC | Team 2: CF Pachuca | Team 1 Win: 6.8 | Draw: 4.6 | Team 2 Win: 1.36 | Link: https://roobet.com/sports/soccer/mexico/liga-mx-women/atlas-fc-cf-pachuca-2620156613679525911
Team 1: SK Sigma Olomouc | Team 2: KS Polonia Bytom SA | Team 1 Win: 1.73 | Draw: 3.9 | Team 2 Win: 4.0 | Link: https://roobet.com/sports/soccer/international/club-friendly-games/sk-sigma-olomouc-ks-polonia-bytom-sa-2620419749217177619
Team 1: Chapecoense SC | Team 2: Brusque FC SC | Team 1 Win: 1.54 | Draw: 3.4 | Team 2 Win: 6.6 | Link: https://roobet.com/sports/soccer/brazil/catarinense/chapecoense-sc-brusque-fc-sc-2619961985881743364
Team 1: Catarinense, Serie A | Team 2: Winner 2026 | Team 1 Win: N/A | Draw: N/A | Team 2 Win: N/A | Link: https://roobet.com/sports/soccer/brazil/catarinense/catarinense-serie-a-winner-2026-2617394169697669143
Team 1: Ittihad Kalba FC | Team 2: Al Wasl FC | Team 1 Win: 4.8 | Draw: 3.65 | Team 2 Win: 1.65 | Link: https://roobet.com/sports/soccer/united-arab-emirates/arabian-gulf-league/ittihad-kalba-fc-al-wasl-fc-2620199744370253859
Team 1: Denmark Superliga | Team 2: Winner 25/26 | Team 1 Win: N/A | Draw: N/A | Team 2 Win: N/A | Link: https://roobet.com/sports/soccer/1669818853091315712/1669818853137453056/denmark-superliga-winner-2526-2552495900215881746
Team 1: PAS Giannina | Team 2: Asteras Tripolis II | Team 1 Win: 3.05 | Draw: 3.0 | Team 2 Win: 2.28 | Link: https://roobet.com/sports/soccer/1669817294387286016/1669946159919140864/pas-giannina-asteras-tripolis-ii-2619603739761319956
Team 1: Italy Serie B | Team 2: Winner 25/26 | Team 1 Win: N/A | Draw: N/A | Team 2 Win: N/A | Link: https://roobet.com/sports/soccer/1669819042774519808/1669819081701855232/italy-serie-b-winner-2526-2562697857354309659
Team 1: Granada CF | Team 2: CD Castellon | Team 1 Win: 2.82 | Draw: 3.25 | Team 2 Win: 2.4 | Link: https://roobet.com/sports/soccer/1669817290067152896/1669819040903860224/granada-cf-cd-castellon-2619606406323646494
Team 1: Ivory Coast | Team 2: Ecuador | Team 1 Win: 3.4 | Draw: 3.05 | Team 2 Win: 2.32 | Link: https://roobet.com/sports/soccer/international/1670073988614852608/ivory-coast-ecuador-2609327863110971396
Team 1: Leeds United | Team 2: Fulham FC | Team 1 Win: 2.22 | Draw: 3.2 | Team 2 Win: 3.3 | Link: https://roobet.com/sports/soccer/1669818860410376192/1669818860469096448/leeds-united-fulham-fc-2619265551985414167
Team 1: Cambridge United | Team 2: Birmingham City | Team 1 Win: 4.5 | Draw: 3.7 | Team 2 Win: 1.75 | Link: https://roobet.com/sports/soccer/1669818860410376192/1672291835038650368/cambridge-united-birmingham-city-2613424981903814704
Team 1: Niki Volou 1924 PAE | Team 2: Iraklis Thessaloniki | Team 1 Win: 2.28 | Draw: 3.0 | Team 2 Win: 3.05 | Link: https://roobet.com/sports/soccer/1669817294387286016/1669946159919140864/niki-volou-1924-pae-iraklis-thessaloniki-2619603739761319960
Team 1: FC Copenhagen | Team 2: SSC Napoli | Team 1 Win: 4.1 | Draw: 3.65 | Team 2 Win: 1.87 | Link: https://roobet.com/sports/soccer/international/2470546796305330203/fc-copenhagen-ssc-napoli-2610648619623260167
Team 1: Wales | Team 2: Bosnia & Herzegovina | Team 1 Win: 1.89 | Draw: 3.3 | Team 2 Win: 4.1 | Link: https://roobet.com/sports/soccer/international/1948019849263452160/wales-bosnia--herzegovina-2603537614824939551
Team 1: Getafe CF | Team 2: Real Sociedad | Team 1 Win: 3.25 | Draw: 2.84 | Team 2 Win: 2.48 | Link: https://roobet.com/sports/soccer/1669817290067152896/1669819032615915520/getafe-cf-real-sociedad-2614530694227038221
Team 1: Braintree Town FC | Team 2: Boston United FC | Team 1 Win: 2.52 | Draw: 3.25 | Team 2 Win: 2.62 | Link: https://roobet.com/sports/soccer/1669818860410376192/1669818994082844672/braintree-town-fc-boston-united-fc-2619278847518052367
