Sport ID,Sport Code,Sport Name,Display Order,Zone IDs
1,FOOT,Soccer,0,"1,2,11382,10004,188860,11375,11526,188482,189438"
2,BASK,Basketball,2,"11525,11487,188490,188758,189456"
3,TENN,Tennis,4,"11308,11400"
4,VOLL,Volleyball,13,"10005,11482,188507,188496,188714"
101,ESPS,Esports,14,"189374,189513,189393,189398"
21,TABL,Table Tennis,12,"190073,190081,190072,190075"
13,HAND,Handball,18,11349
7,ICEH,Ice Hockey,15,"10058,188624"
25,BCHV,Beach Volleyball,20,189744
48,DART,Darts,34,189737
34,SNOO,Snooker,21,188521
24,FUTS,Futsal,22,10830
40,GOLF,Golf,11,189018
